;Datenpunkt;Luftgütesensor 2.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 2.MY_HUMIDITY;Luftgütesensor 2.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
28.12.2020 11:36:21,775;2;492.600;36,5;23,1
28.12.2020 11:36:23,761;2;492.600;36,5;23,1
28.12.2020 11:36:23,771;2;492.600;36,5;23,1
28.12.2020 11:36:23,778;2;492.600;36,5;23,1
28.12.2020 11:40:36,841;2;492.600;36,5;23,3
28.12.2020 11:40:36,854;2;492.600;36,2;23,3
28.12.2020 11:40:36,860;2;495.020;36,2;23,3
28.12.2020 11:44:59,194;2;495.020;36,2;23,5
28.12.2020 11:44:59,207;2;495.020;35,1;23,5
28.12.2020 11:44:59,213;2;489.720;35,1;23,5
28.12.2020 11:49:21,544;2;489.720;35,1;23,5
28.12.2020 11:49:21,546;2;489.720;34,6;23,5
28.12.2020 11:49:21,552;2;483.840;34,6;23,5
28.12.2020 11:53:43,896;2;483.840;34,6;23,5
28.12.2020 11:53:43,900;2;483.840;34,1;23,5
28.12.2020 11:53:43,905;2;488.600;34,1;23,5
28.12.2020 11:58:06,333;2;488.600;34,1;23,3
28.12.2020 11:58:06,341;2;488.600;33,4;23,3
28.12.2020 11:58:06,347;2;491.940;33,4;23,3
28.12.2020 12:02:28,673;2;491.940;33,4;23,2
28.12.2020 12:02:28,677;2;491.940;33,5;23,2
28.12.2020 12:02:28,683;2;486.760;33,5;23,2
28.12.2020 12:06:51,053;2;486.760;33,5;23,2
28.12.2020 12:06:51,056;2;486.760;34,1;23,2
28.12.2020 12:06:51,062;2;480.980;34,1;23,2
28.12.2020 12:11:13,388;2;480.980;34,1;23,2
28.12.2020 12:11:13,397;2;480.980;34,4;23,2
28.12.2020 12:11:13,403;2;480.560;34,4;23,2
28.12.2020 12:15:35,730;2;480.560;34,4;23,2
28.12.2020 12:15:35,733;2;480.560;34,7;23,2
28.12.2020 12:15:35,739;2;478.220;34,7;23,2
28.12.2020 12:19:58,075;2;478.220;34,7;23,2
28.12.2020 12:19:58,079;2;478.220;34,8;23,2
28.12.2020 12:19:58,084;2;476.180;34,8;23,2
28.12.2020 12:24:20,416;2;476.180;34,8;23,2
28.12.2020 12:24:20,419;2;476.180;35,4;23,2
28.12.2020 12:24:20,425;2;475.500;35,4;23,2
28.12.2020 12:28:42,762;2;475.500;35,4;23,2
28.12.2020 12:28:42,772;2;475.500;35,6;23,2
28.12.2020 12:28:42,778;2;468.020;35,6;23,2
28.12.2020 12:33:05,112;2;468.020;35,6;23,3
28.12.2020 12:33:05,123;2;468.020;35,7;23,3
28.12.2020 12:33:05,129;2;462.180;35,7;23,3
28.12.2020 12:37:27,471;2;462.180;35,7;23,3
28.12.2020 12:37:27,475;2;462.180;35,9;23,3
28.12.2020 12:37:27,481;2;460.640;35,9;23,3
28.12.2020 12:41:49,832;2;460.640;35,9;23,4
28.12.2020 12:41:49,842;2;460.640;35,9;23,4
28.12.2020 12:41:49,849;2;458.740;35,9;23,4
28.12.2020 12:46:12,218;2;458.740;35,9;23,4
28.12.2020 12:46:12,246;2;458.740;35,9;23,4
28.12.2020 12:46:12,251;2;459.720;35,9;23,4
28.12.2020 12:50:34,620;2;459.720;35,9;23,5
28.12.2020 12:50:34,631;2;459.720;35,9;23,5
28.12.2020 12:50:34,637;2;459.060;35,9;23,5
28.12.2020 12:59:19,395;2;459.060;35,9;23,6
28.12.2020 12:59:19,404;2;459.060;36,1;23,6
28.12.2020 12:59:19,409;2;455.240;36,1;23,6
28.12.2020 13:03:41,821;2;455.240;36,1;23,7
28.12.2020 13:03:41,831;2;455.240;36,2;23,7
28.12.2020 13:03:41,838;2;451.140;36,2;23,7
28.12.2020 13:08:04,229;2;451.140;36,2;23,7
28.12.2020 13:08:04,239;2;451.140;36,4;23,7
28.12.2020 13:08:04,246;2;450.200;36,4;23,7
28.12.2020 13:12:26,643;2;450.200;36,4;23,8
28.12.2020 13:12:26,647;2;450.200;36,6;23,8
28.12.2020 13:12:26,653;2;447.180;36,6;23,8
28.12.2020 13:16:49,051;2;447.180;36,6;23,8
28.12.2020 13:16:49,062;2;447.180;36,7;23,8
28.12.2020 13:16:49,068;2;449.540;36,7;23,8
28.12.2020 13:21:11,465;2;449.540;36,7;23,8
28.12.2020 13:21:11,469;2;449.540;36;23,8
28.12.2020 13:21:11,474;2;451.560;36;23,8
28.12.2020 13:25:33,865;2;451.560;36;23,8
28.12.2020 13:25:33,869;2;451.560;36;23,8
28.12.2020 13:25:33,874;2;457.580;36;23,8
28.12.2020 13:29:56,269;2;457.580;36;23,7
