;Datenpunkt;Luftgütesensor 1.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 1.MY_HUMIDITY;Luftgütesensor 1.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
31.12.2020 21:38:28,218;2;118.760;36,4;24,9
31.12.2020 21:38:28,220;2;118.760;36,4;24,9
31.12.2020 21:38:28,226;2;118.760;36,4;24,9
31.12.2020 21:38:30,242;2;118.760;36,4;24,9
31.12.2020 21:38:30,250;2;118.760;36,4;24,9
31.12.2020 21:38:30,256;2;118.760;36,4;24,9
31.12.2020 21:38:32,267;2;118.760;36,4;24,9
31.12.2020 21:38:32,275;2;118.760;36,4;24,9
31.12.2020 21:38:32,281;2;118.760;36,4;24,9
31.12.2020 21:42:54,536;2;118.760;36,4;25
31.12.2020 21:42:54,539;2;118.760;36,4;25
31.12.2020 21:42:54,544;2;120.000;36,4;25
31.12.2020 21:47:26,337;2;120.000;36,4;25
31.12.2020 21:47:26,339;2;120.000;36,4;25
31.12.2020 21:47:26,344;2;120.540;36,4;25
31.12.2020 21:51:58,147;2;120.540;36,4;25,1
31.12.2020 21:51:58,156;2;120.540;36,5;25,1
31.12.2020 21:51:58,165;2;120.100;36,5;25,1
31.12.2020 21:56:29,971;2;120.100;36,5;25,2
31.12.2020 21:56:29,981;2;120.100;36,5;25,2
31.12.2020 21:56:29,987;2;120.180;36,5;25,2
31.12.2020 22:01:01,825;2;120.180;36,5;25,3
31.12.2020 22:01:01,834;2;120.180;36,5;25,3
31.12.2020 22:01:01,839;2;119.500;36,5;25,3
31.12.2020 22:05:33,659;2;119.500;36,5;25,3
31.12.2020 22:05:33,668;2;119.500;36,6;25,3
31.12.2020 22:05:33,674;2;119.160;36,6;25,3
31.12.2020 22:10:05,503;2;119.160;36,6;25,4
31.12.2020 22:10:05,507;2;119.160;36,7;25,4
31.12.2020 22:10:05,513;2;118.800;36,7;25,4
31.12.2020 22:14:37,350;2;118.800;36,7;25,5
31.12.2020 22:14:37,359;2;118.800;36,8;25,5
31.12.2020 22:14:37,364;2;117.980;36,8;25,5
