;Datenpunkt;Luftgütesensor 1.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 1.MY_HUMIDITY;Luftgütesensor 1.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
15.01.2021 23:47:24,719;2;79.640;33;24,5
15.01.2021 23:47:24,723;2;80.260;33;24,5
15.01.2021 23:51:57,508;2;80.260;33;24,5
15.01.2021 23:51:57,517;2;80.260;33;24,5
15.01.2021 23:51:57,522;2;80.680;33;24,5
15.01.2021 23:56:30,308;2;80.680;33;24,5
15.01.2021 23:56:30,317;2;80.680;33,1;24,5
15.01.2021 23:56:30,321;2;80.800;33,1;24,5
16.01.2021 00:01:03,109;2;80.800;33,1;24,5
16.01.2021 00:01:03,118;2;80.800;33,1;24,5
16.01.2021 00:01:03,123;2;81.260;33,1;24,5
16.01.2021 00:05:35,905;2;81.260;33,1;24,5
16.01.2021 00:05:35,913;2;81.260;33,1;24,5
16.01.2021 00:05:35,917;2;81.560;33,1;24,5
16.01.2021 00:10:08,703;2;81.560;33,1;24,5
16.01.2021 00:10:08,705;2;81.560;33,1;24,5
16.01.2021 00:10:08,708;2;81.940;33,1;24,5
16.01.2021 00:14:41,500;2;81.940;33,1;24,5
16.01.2021 00:14:41,503;2;81.940;33,1;24,5
16.01.2021 00:14:41,507;2;81.960;33,1;24,5
16.01.2021 00:19:14,314;2;81.960;33,1;24,5
16.01.2021 00:19:14,323;2;81.960;33,2;24,5
16.01.2021 00:19:14,328;2;81.100;33,2;24,5
16.01.2021 00:23:47,108;2;81.100;33,2;24,4
16.01.2021 00:23:47,110;2;81.100;33,2;24,4
16.01.2021 00:23:47,114;2;80.400;33,2;24,4
16.01.2021 00:28:19,876;2;80.400;33,2;24,4
16.01.2021 00:28:19,884;2;80.400;33,3;24,4
16.01.2021 00:28:19,887;2;80.160;33,3;24,4
16.01.2021 00:37:25,452;2;80.160;33,3;24,4
16.01.2021 00:37:25,454;2;80.160;33,4;24,4
16.01.2021 00:37:25,459;2;79.920;33,4;24,4
16.01.2021 00:41:58,240;2;79.920;33,4;24,4
16.01.2021 00:41:58,249;2;79.920;33,4;24,4
16.01.2021 00:41:58,254;2;80.140;33,4;24,4
16.01.2021 00:46:31,040;2;80.140;33,4;24,4
16.01.2021 00:46:31,043;2;80.140;33,4;24,4
16.01.2021 00:46:31,046;2;80.600;33,4;24,4
16.01.2021 00:51:03,813;2;80.600;33,4;24,3
16.01.2021 00:51:03,822;2;80.600;33,4;24,3
16.01.2021 00:51:03,827;2;80.880;33,4;24,3
16.01.2021 00:55:36,599;2;80.880;33,4;24,3
16.01.2021 00:55:36,608;2;80.880;33,5;24,3
16.01.2021 00:55:36,613;2;81.380;33,5;24,3
16.01.2021 01:00:09,381;2;81.380;33,5;24,3
16.01.2021 01:00:09,384;2;81.380;33,5;24,3
16.01.2021 01:00:09,388;2;82.120;33,5;24,3
16.01.2021 01:04:42,160;2;82.120;33,5;24,3
16.01.2021 01:04:42,169;2;82.120;33,5;24,3
16.01.2021 01:04:42,173;2;82.600;33,5;24,3
16.01.2021 01:09:14,945;2;82.600;33,5;24,3
16.01.2021 01:09:14,948;2;82.600;33,5;24,3
16.01.2021 01:09:14,953;2;83.000;33,5;24,3
16.01.2021 01:13:47,725;2;83.000;33,5;24,3
16.01.2021 01:13:47,728;2;83.000;33,5;24,3
16.01.2021 01:13:47,732;2;83.260;33,5;24,3
16.01.2021 01:18:20,498;2;83.260;33,5;24,3
16.01.2021 01:18:20,506;2;83.260;33,5;24,3
16.01.2021 01:18:20,510;2;83.240;33,5;24,3
